Date,sku,Sales,Forecast
2023-01-01,JU-021,4156,
2023-02-01,JU-021,3285,
2023-03-01,JU-021,4781,
2023-04-01,JU-021,4961,
2023-05-01,JU-021,5541,
2023-06-01,JU-021,6072,
2023-07-01,JU-021,5661,
2023-08-01,JU-021,4607,
2023-09-01,JU-021,3687,
2023-10-01,JU-021,3512,
2023-11-01,JU-021,2842,
2023-12-01,JU-021,2615,
2024-01-01,JU-021,2799,
2024-02-01,JU-021,2871,
2024-03-01,JU-021,3957,
2024-04-01,JU-021,3844,
2024-05-01,JU-021,4635,
2024-06-01,JU-021,5118,
2023-09-01,MI-002,4900,
2023-10-01,MI-002,3970,
2023-11-01,MI-002,3872,
2023-12-01,MI-002,3728,
2024-01-01,MI-002,3683,
2024-02-01,MI-002,3748,
2024-03-01,MI-002,4290,
2024-04-01,MI-002,4202,
2024-05-01,MI-002,4513,
2024-06-01,MI-002,4301,
2022-07-01,MI-006,5996,
2022-08-01,MI-006,4753,
2022-09-01,MI-006,3865,
2022-10-01,MI-006,4022,
2022-11-01,MI-006,3958,
2022-12-01,MI-006,3801,
2023-01-01,MI-006,3516,
2023-02-01,MI-006,2824,
2023-03-01,MI-006,3431,
2023-04-01,MI-006,3507,
2023-05-01,MI-006,3632,
2023-06-01,MI-006,3650,
2023-07-01,MI-006,4029,
2023-08-01,MI-006,3949,
2023-09-01,MI-006,3272,
2023-10-01,MI-006,3302,
2023-11-01,MI-006,3034,
2023-12-01,MI-006,3071,
2024-01-01,MI-006,2994,
2024-02-01,MI-006,3004,
2024-03-01,MI-006,3256,
2024-04-01,MI-006,3520,
2024-05-01,MI-006,3346,
2024-06-01,MI-006,3855,
2023-10-01,MI-008,4906,
2023-11-01,MI-008,3783,
2023-12-01,MI-008,3723,
2024-01-01,MI-008,3840,
2024-02-01,MI-008,3491,
2024-03-01,MI-008,3863,
2024-04-01,MI-008,3386,
2024-05-01,MI-008,3669,
2024-06-01,MI-008,3650,
2023-10-01,MI-011,4238,
2023-11-01,MI-011,3636,
2023-12-01,MI-011,3725,
2024-01-01,MI-011,3538,
2024-02-01,MI-011,3699,
2024-03-01,MI-011,3843,
2024-04-01,MI-011,3507,
2024-05-01,MI-011,3858,
2024-06-01,MI-011,3542,
2023-04-01,MI-022,4286,
2023-05-01,MI-022,4348,
2023-06-01,MI-022,4622,
2023-07-01,MI-022,5158,
2023-08-01,MI-022,4792,
2023-09-01,MI-022,4131,
2023-10-01,MI-022,3383,
2023-11-01,MI-022,2980,
2023-12-01,MI-022,2944,
2024-01-01,MI-022,3117,
2024-02-01,MI-022,2929,
2024-03-01,MI-022,3575,
2024-04-01,MI-022,3320,
2024-05-01,MI-022,3689,
2024-06-01,MI-022,3537,
2022-12-01,MI-023,3921,
2023-01-01,MI-023,3819,
2023-02-01,MI-023,3699,
2023-03-01,MI-023,4258,
2023-04-01,MI-023,4110,
2023-05-01,MI-023,4375,
2023-06-01,MI-023,4590,
2023-07-01,MI-023,4830,
2023-08-01,MI-023,4789,
2023-09-01,MI-023,4309,
2023-10-01,MI-023,4210,
2023-11-01,MI-023,3631,
2023-12-01,MI-023,3663,
2024-01-01,MI-023,3734,
2024-02-01,MI-023,3764,
2024-03-01,MI-023,4616,
2024-04-01,MI-023,4274,
2024-05-01,MI-023,4689,
2024-06-01,MI-023,4861,
2022-07-01,MI-026,6304,
2022-08-01,MI-026,4549,
2022-09-01,MI-026,4405,
2022-10-01,MI-026,3912,
2022-11-01,MI-026,3658,
2022-12-01,MI-026,3650,
2023-01-01,MI-026,3654,
2023-02-01,MI-026,3391,
2023-03-01,MI-026,3959,
2023-04-01,MI-026,4156,
2023-05-01,MI-026,4576,
2023-06-01,MI-026,4219,
2023-07-01,MI-026,5309,
2023-08-01,MI-026,4818,
2023-09-01,MI-026,4527,
2023-10-01,MI-026,4424,
2023-11-01,MI-026,3770,
2023-12-01,MI-026,3522,
2024-01-01,MI-026,3875,
2024-02-01,MI-026,3864,
2024-03-01,MI-026,4260,
2024-04-01,MI-026,4211,
2024-05-01,MI-026,4631,
2024-06-01,MI-026,4237,
2022-10-01,RE-004,5240,
2022-11-01,RE-004,4510,
2022-12-01,RE-004,4995,
2023-01-01,RE-004,5499,
2023-02-01,RE-004,5157,
2023-03-01,RE-004,5240,
2023-04-01,RE-004,5003,
2023-05-01,RE-004,4329,
2023-06-01,RE-004,3745,
2023-07-01,RE-004,4476,
2023-08-01,RE-004,4019,
2023-09-01,RE-004,4038,
2023-10-01,RE-004,4723,
2023-11-01,RE-004,4746,
2023-12-01,RE-004,5152,
2024-01-01,RE-004,4954,
2024-02-01,RE-004,4678,
2024-03-01,RE-004,5310,
2024-04-01,RE-004,4617,
2024-05-01,RE-004,4413,
2024-06-01,RE-004,3871,
2022-11-01,RE-007,5375,
2022-12-01,RE-007,4957,
2023-01-01,RE-007,5261,
2023-02-01,RE-007,5174,
2023-03-01,RE-007,5383,
2023-04-01,RE-007,4282,
2023-05-01,RE-007,4742,
2023-06-01,RE-007,3877,
